step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J5_stopped,J5_accumulated_waiting_time,J5_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,14,30,2,0,14,0,0.0,0.0,6.721487642833233,2,0.0,0.507402535638217,2,0.0
20.0,28,55,6,0,28,0,21.0,0.75,5.220315629903889,6,23.0,0.31362309138072647,6,23.0
30.0,39,79,20,4,43,0,138.0,3.5384615384615383,3.7756887398581145,20,140.0,0.20120964535730396,20,140.0
40.0,50,95,30,10,60,0,374.0,7.48,2.57333912124048,30,376.0,0.14801538986406393,30,376.0
50.0,59,132,24,13,72,0,321.0,5.440677966101695,3.4410156643335714,24,489.0,0.15195233095159366,24,489.0
60.0,62,154,38,23,85,0,589.0,9.5,2.8357146908703474,38,639.0,0.10678403701401824,38,639.0
70.0,63,184,45,32,95,0,988.0,15.682539682539682,1.8857209595445033,45,1000.0,0.06250777478996071,45,1000.0
80.0,68,211,33,39,107,0,949.0,13.955882352941176,2.784473302297387,33,1163.0,0.11342547968507953,33,1163.0
90.0,66,227,36,50,116,0,1264.0,19.151515151515152,3.9671661598816397,36,1290.0,0.14472448797011367,36,1290.0
100.0,64,249,43,64,128,0,1639.0,25.609375,2.646451985269041,43,1644.0,0.09642266129620547,43,1644.0
110.0,64,269,36,73,137,0,1793.0,28.015625,2.5788369033594396,36,1897.0,0.09319928178979248,36,1897.0
120.0,60,298,43,84,144,0,2162.0,36.03333333333333,2.4976934870285254,43,2186.0,0.08361348839796762,43,2186.0
130.0,59,339,44,92,151,0,2537.0,43.0,2.042031093344727,44,2561.0,0.0705618997453598,44,2561.0
140.0,62,359,51,98,160,0,3001.0,48.403225806451616,1.679590819432027,51,3025.0,0.05716890283733309,51,3025.0
150.0,63,400,54,104,167,0,3516.0,55.80952380952381,0.8035911233024671,54,3541.0,0.04192029090995291,54,3541.0
160.0,64,438,57,106,170,0,4080.0,63.75,1.118024799645039,57,4106.0,0.03003485236676264,57,4106.0
170.0,62,464,57,111,173,0,4650.0,75.0,0.8377738843003344,57,4675.0,0.035705954735157835,57,4675.0
180.0,64,496,39,113,177,0,2809.0,43.890625,2.6377880962887814,39,4113.0,0.1013427467879523,39,4113.0
190.0,60,535,37,124,184,0,2720.0,45.333333333333336,2.8845342225158572,37,3345.0,0.10872168260760472,37,3345.0
200.0,62,568,38,133,195,0,2886.0,46.54838709677419,2.77736459484375,38,3060.0,0.08982298186897997,38,3060.0
