step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J5_stopped,J5_accumulated_waiting_time,J5_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,13,25,2,0,13,0,0.0,0.0,6.641651662096214,2,0.0,0.45889318392674644,2,0.0
20.0,27,44,8,1,28,0,22.0,0.8148148148148148,5.1346739591907,8,23.0,0.33509584309671236,8,23.0
30.0,38,64,15,4,42,0,98.0,2.5789473684210527,4.530295070014425,15,105.0,0.2609056141346606,15,105.0
40.0,47,83,30,10,57,0,307.0,6.531914893617022,3.2210975581268313,30,307.0,0.13705375349480603,30,307.0
50.0,57,97,21,16,73,0,263.0,4.614035087719298,3.3702706593216605,21,390.0,0.1595906923306509,21,390.0
60.0,60,124,34,26,86,0,533.0,8.883333333333333,2.718242600368614,34,582.0,0.13494579016499456,34,582.0
70.0,63,158,32,33,96,0,617.0,9.793650793650794,2.836177701412397,32,736.0,0.11305010454229691,32,736.0
80.0,65,175,40,44,109,0,960.0,14.76923076923077,3.3721714372346283,40,974.0,0.11291993860437155,40,974.0
90.0,61,203,24,56,117,0,401.0,6.573770491803279,3.4333663070023377,24,867.0,0.1283141278223704,24,867.0
100.0,62,214,33,68,130,0,549.0,8.85483870967742,3.333660132502676,33,808.0,0.1494630290973646,33,808.0
110.0,63,230,32,78,141,0,593.0,9.412698412698413,2.9878384184114317,32,978.0,0.1026908186777125,32,978.0
120.0,64,262,40,90,154,0,919.0,14.359375,3.220579018108312,40,1221.0,0.12759616582356115,40,1221.0
130.0,63,303,40,100,163,0,815.0,12.936507936507937,2.230164093463603,40,1336.0,0.07681640862160852,40,1336.0
140.0,68,320,48,107,175,0,1149.0,16.897058823529413,1.5296718518296821,48,1584.0,0.06109206966352936,48,1584.0
150.0,67,353,35,112,179,0,825.0,12.313432835820896,2.136452192645378,35,1632.0,0.08443810711355998,35,1632.0
160.0,70,383,46,120,190,0,1107.0,15.814285714285715,2.157405098640661,46,1621.0,0.08297001848502178,46,1621.0
170.0,75,408,57,126,201,0,1587.0,21.16,1.9263889138738712,57,1951.0,0.05346247723184966,57,1951.0
180.0,75,440,53,135,210,0,1689.0,22.52,1.868399977079251,53,2244.0,0.06411213556081938,53,2244.0
190.0,72,467,52,144,216,0,2106.0,29.25,2.2885728122187867,52,2515.0,0.09705400261761563,52,2515.0
200.0,71,493,45,152,223,0,2468.0,34.76056338028169,2.040611787910056,45,2876.0,0.06991318967551856,45,2876.0
210.0,70,523,53,160,230,0,2970.0,42.42857142857143,1.9232588799477413,53,3342.0,0.05773262696243092,53,3342.0
220.0,70,549,50,168,238,0,3313.0,47.32857142857143,2.0713555585930683,50,3695.0,0.0770783276421904,50,3695.0
230.0,70,579,54,176,246,0,3810.0,54.42857142857143,1.8617563490328897,54,4145.0,0.07804037827539881,54,4145.0
240.0,70,613,47,184,254,0,4140.0,59.142857142857146,2.2165172628765757,47,4527.0,0.08640978435505878,47,4527.0
250.0,69,643,47,192,261,0,4597.0,66.6231884057971,2.3758811029569893,47,4925.0,0.07373699968585304,47,4925.0
260.0,68,675,48,201,269,0,4060.0,59.705882352941174,1.4052864704166845,48,5041.0,0.05859186110483245,48,5041.0
270.0,73,703,49,205,278,0,3689.0,50.534246575342465,1.844524756994868,49,4819.0,0.07247289266148266,49,4819.0
280.0,75,734,50,212,287,0,3798.0,50.64,1.7678931020314235,50,4920.0,0.0722144840041401,50,4920.0
290.0,76,761,54,220,296,0,4274.0,56.23684210526316,1.523275631849506,54,5364.0,0.047730227694397984,54,5364.0
300.0,78,788,52,227,305,0,4609.0,59.08974358974359,1.5473214720666546,52,5189.0,0.05482974210906605,52,5189.0
310.0,77,818,61,235,312,0,5155.0,66.94805194805195,1.6881318951444748,61,5391.0,0.058834644684029665,61,5391.0
320.0,74,852,49,244,318,0,4716.0,63.729729729729726,1.728462483997279,49,5487.0,0.06265357960488839,49,5487.0
330.0,71,893,45,253,324,0,4843.0,68.21126760563381,3.16702586463222,45,5413.0,0.1184816246437917,45,5413.0
340.0,67,923,51,265,332,0,5325.0,79.4776119402985,1.9845950769222174,51,5599.0,0.0673951324212474,51,5599.0
