step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J5_stopped,J5_accumulated_waiting_time,J5_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,13,11,2,0,13,0,0.0,0.0,8.010724898049274,2,0.0,0.5570176221449714,2,0.0
20.0,26,32,8,0,26,0,33.0,1.2692307692307692,5.5930285404349105,8,33.0,0.27338792961076425,8,33.0
30.0,36,58,15,5,41,0,130.0,3.611111111111111,4.3804895644316675,15,131.0,0.22108875763700858,15,131.0
40.0,44,84,27,11,55,0,335.0,7.613636363636363,2.704167965350469,27,336.0,0.14931454262478322,27,336.0
50.0,55,109,28,14,69,0,332.0,6.036363636363636,2.5034949204146284,28,462.0,0.10964827045765839,28,462.0
60.0,64,127,37,20,84,0,614.0,9.59375,3.2910586109456554,37,634.0,0.13692930537989878,37,634.0
70.0,66,147,37,29,95,0,689.0,10.43939393939394,2.767971610115549,37,811.0,0.11502999946299829,37,811.0
80.0,67,180,41,41,108,0,1037.0,15.477611940298507,3.054127543876438,41,1073.0,0.10034910875427307,41,1073.0
90.0,66,212,34,53,119,0,1183.0,17.924242424242426,3.2073069006516555,34,1293.0,0.14513936246182327,34,1293.0
100.0,63,248,38,64,127,0,1534.0,24.349206349206348,3.0053629358670544,38,1551.0,0.11396827944124224,38,1551.0
110.0,63,278,33,74,137,0,844.0,13.396825396825397,3.2455552951718807,33,1420.0,0.1291766339794596,33,1420.0
120.0,63,299,37,85,148,0,1014.0,16.095238095238095,3.001607903600247,37,1257.0,0.08827087390043349,37,1257.0
130.0,63,326,40,96,159,0,1315.0,20.873015873015873,2.1472855901918066,40,1573.0,0.08379086107564189,40,1573.0
140.0,69,358,51,102,171,0,1776.0,25.73913043478261,2.0270789971361802,51,2013.0,0.06462850346471084,51,2013.0
150.0,70,392,51,110,180,0,1267.0,18.1,2.000782383543316,51,2050.0,0.08159234313111455,51,2050.0
160.0,67,430,50,117,184,0,1307.0,19.507462686567163,1.585055872525566,50,1956.0,0.04656140386588225,50,1956.0
170.0,69,467,36,123,192,0,1242.0,18.0,2.513900432823956,36,1919.0,0.09336991982557603,36,1919.0
