step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J5_stopped,J5_accumulated_waiting_time,J5_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,12,19,1,0,12,0,0.0,0.0,7.0024951439382646,1,0.0,0.5239947541275002,1,0.0
20.0,27,42,8,0,27,0,24.0,0.8888888888888888,5.87090629871145,8,24.0,0.3630008637058283,8,24.0
30.0,37,67,18,5,42,0,127.0,3.4324324324324325,3.624784109833708,18,129.0,0.1846802945782929,18,129.0
40.0,46,96,30,10,56,0,357.0,7.760869565217392,2.3906652191727753,30,359.0,0.1333450787013625,30,359.0
50.0,55,123,25,13,68,0,370.0,6.7272727272727275,3.6974533690147418,25,443.0,0.17043449162954682,25,443.0
60.0,60,150,34,22,82,0,637.0,10.616666666666667,3.3479683468807773,34,650.0,0.1272549064633484,34,650.0
70.0,62,175,45,33,95,0,1014.0,16.35483870967742,1.837131652174504,45,1035.0,0.0853593698253323,45,1035.0
80.0,70,202,56,37,107,0,1523.0,21.757142857142856,1.082741005947814,56,1545.0,0.04033052178993306,56,1545.0
90.0,72,232,50,41,113,0,1710.0,23.75,1.5849725957910477,50,1902.0,0.05636041112045471,50,1902.0
100.0,72,260,51,48,120,0,2167.0,30.09722222222222,2.3510415200831827,51,2234.0,0.09429453644915495,51,2234.0
110.0,71,288,55,56,127,0,1817.0,25.591549295774648,1.0526674809721346,55,2473.0,0.04571037840742879,55,2473.0
120.0,74,326,59,60,134,0,2211.0,29.87837837837838,1.2689185306975723,59,2729.0,0.04735718586200048,59,2729.0
130.0,77,367,51,65,142,0,2205.0,28.636363636363637,2.0520565666511614,51,2932.0,0.07523389546556872,51,2932.0
140.0,75,404,59,74,149,0,2729.0,36.38666666666666,1.7638438630944693,59,3313.0,0.0405523293180714,59,3313.0
150.0,71,425,58,83,154,0,3296.0,46.42253521126761,1.5862581965670597,58,3854.0,0.05258313107405522,58,3854.0
160.0,71,461,59,89,160,0,3874.0,54.563380281690144,1.448284181782214,59,4432.0,0.04135408336070975,59,4432.0
170.0,73,496,37,94,167,0,1550.0,21.232876712328768,2.4781242316324565,37,3858.0,0.08917414289669374,37,3858.0
180.0,65,530,36,106,171,0,879.0,13.523076923076923,3.5695729884980163,36,2791.0,0.12835388988855914,36,2791.0
190.0,62,547,40,119,181,0,989.0,15.951612903225806,2.305016050439827,40,2429.0,0.07586464965014156,40,2429.0
200.0,64,568,48,128,192,0,1403.0,21.921875,1.5152381418046996,48,2647.0,0.07620016006542947,48,2647.0
210.0,66,606,43,133,199,0,1522.0,23.060606060606062,1.915689626434501,43,2906.0,0.07685383221589968,43,2906.0
220.0,70,639,50,140,210,0,1945.0,27.785714285714285,1.7530157183913253,50,3230.0,0.07429213219813484,50,3230.0
230.0,72,662,53,146,218,0,2293.0,31.84722222222222,1.6603541951101883,53,3598.0,0.06087847819797241,53,3598.0
240.0,72,692,55,153,225,0,2793.0,38.791666666666664,1.9397741977020162,55,4045.0,0.05610037440049873,55,4045.0
250.0,69,721,46,161,230,0,2466.0,35.73913043478261,2.070233485616856,46,3624.0,0.06111925335199007,46,3624.0
260.0,64,760,42,171,235,0,2590.0,40.46875,3.188234176096763,42,3433.0,0.12572904738387025,42,3433.0
270.0,61,795,43,181,242,0,3013.0,49.39344262295082,3.056295349343929,43,3592.0,0.09440657094376109,43,3592.0
280.0,57,818,46,192,249,0,3450.0,60.526315789473685,1.878660168578768,46,4029.0,0.05587055448310408,46,4029.0
290.0,54,849,38,200,254,0,3574.0,66.18518518518519,1.9566113463244534,38,4313.0,0.09959706785175455,38,4313.0
300.0,57,883,40,204,261,0,3883.0,68.12280701754386,2.211544615535765,40,4576.0,0.09055767263904625,40,4576.0
310.0,61,910,40,209,270,0,3465.0,56.80327868852459,1.9373623455676527,40,4496.0,0.06771482094356954,40,4496.0
320.0,64,937,48,215,279,0,3694.0,57.71875,1.50092728897123,48,4610.0,0.07096875633059276,48,4610.0
330.0,70,972,46,219,289,0,3960.0,56.57142857142857,1.9842196223858362,46,4905.0,0.07990191025813986,46,4905.0
340.0,73,1000,56,226,299,0,4398.0,60.24657534246575,1.8708291681154539,56,5252.0,0.05465449057722048,56,5252.0
350.0,73,1020,42,233,306,0,1670.0,22.876712328767123,1.882479592282516,42,4629.0,0.0873768900553351,42,4629.0
360.0,75,1040,49,239,314,0,1009.0,13.453333333333333,1.7229562329656096,49,3664.0,0.06362544662471159,49,3664.0
370.0,77,1066,45,245,322,0,912.0,11.844155844155845,2.2458870845708514,45,3725.0,0.0786893302610981,45,3725.0
380.0,76,1091,46,255,331,0,1164.0,15.31578947368421,3.4468622201585144,46,3731.0,0.1250291892139776,46,3731.0
390.0,71,1115,53,268,339,0,1437.0,20.239436619718308,1.237201178615071,53,4006.0,0.04850986121834999,53,4006.0
400.0,71,1155,58,273,344,0,1816.0,25.577464788732396,1.2606821516919025,58,4399.0,0.03603158605939803,58,4399.0
410.0,70,1190,38,278,348,0,916.0,13.085714285714285,2.4175918241256316,38,3548.0,0.08993584701430948,38,3548.0
420.0,71,1220,46,289,360,0,1070.0,15.070422535211268,2.4865275137697407,46,3081.0,0.07608402076946479,46,3081.0
430.0,68,1257,40,299,367,0,691.0,10.161764705882353,1.674113194383173,40,2643.0,0.07145531442775287,40,2643.0
440.0,72,1277,45,304,376,0,984.0,13.666666666666666,2.0233282111076036,45,2177.0,0.09379799989766963,45,2177.0
450.0,76,1306,49,311,387,0,1317.0,17.32894736842105,2.3778466933392743,49,2287.0,0.06219133574702604,49,2287.0
460.0,72,1330,54,323,395,0,1820.0,25.27777777777778,2.1060565603575045,54,2676.0,0.0691375394743384,54,2676.0
470.0,72,1354,46,331,403,0,1367.0,18.98611111111111,2.527695339329946,46,2434.0,0.07776128111804977,46,2434.0
480.0,68,1385,44,342,410,0,1422.0,20.91176470588235,2.7059840738231276,44,2166.0,0.11018920066525274,44,2166.0
490.0,70,1423,48,350,420,0,994.0,14.2,1.0629087036964813,48,2362.0,0.04526269746872331,48,2362.0
500.0,72,1450,54,354,426,0,1143.0,15.875,1.4623513514616588,54,2220.0,0.03769643091227286,54,2220.0
510.0,72,1477,45,360,432,0,972.0,13.5,2.2137811623785475,45,2275.0,0.0763228363030675,45,2275.0
520.0,72,1504,49,369,441,0,1139.0,15.819444444444445,1.8873733722650978,49,2441.0,0.07994776634320752,49,2441.0
530.0,77,1527,49,374,451,0,887.0,11.519480519480519,2.450600211387969,49,2530.0,0.07526737318585716,49,2530.0
540.0,72,1560,52,387,459,0,1224.0,17.0,2.561742810008622,52,2572.0,0.07870843750476327,52,2572.0
550.0,68,1594,45,398,466,0,1282.0,18.852941176470587,2.0809655538001177,45,2444.0,0.08885348041841513,45,2444.0
560.0,68,1618,49,405,473,0,1572.0,23.11764705882353,1.827420171144025,49,2520.0,0.05671938404916415,49,2520.0
570.0,70,1656,41,412,482,0,1785.0,25.5,2.6809501988353146,41,2706.0,0.1160004878051811,41,2706.0
580.0,68,1678,45,423,491,0,2193.0,32.25,2.698996954369372,45,3040.0,0.09219318359674451,45,3040.0
590.0,69,1709,50,434,503,0,2621.0,37.98550724637681,1.9472801018164076,50,3477.0,0.059972744248812895,50,3477.0
600.0,70,1737,51,441,511,0,2687.0,38.385714285714286,1.202817898504556,51,3644.0,0.055322391737358985,51,3644.0
610.0,73,1769,54,445,518,0,3175.0,43.49315068493151,2.085208530679324,54,3869.0,0.0816048040893542,54,3869.0
620.0,73,1792,43,452,525,0,1574.0,21.561643835616437,2.469929010598589,43,3134.0,0.07622675774452038,43,3134.0
630.0,67,1824,38,465,532,0,977.0,14.582089552238806,3.7843864226085278,38,2139.0,0.16364761894800509,38,2139.0
640.0,64,1847,43,478,542,0,1237.0,19.328125,2.311114459302302,43,1552.0,0.06983219452993629,43,1552.0
