step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J5_stopped,J5_accumulated_waiting_time,J5_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,14,18,1,0,14,0,0.0,0.0,7.932058815083832,1,0.0,0.5653661558853391,1,0.0
20.0,30,39,12,0,30,0,35.0,1.1666666666666667,5.537920085399818,12,35.0,0.29003630831631966,12,35.0
30.0,39,70,17,6,45,0,133.0,3.41025641025641,4.432470103608504,17,134.0,0.2518711259586616,17,134.0
40.0,48,95,29,11,59,0,345.0,7.1875,2.9587969059397934,29,347.0,0.15065809707857014,29,347.0
50.0,59,118,42,17,76,0,687.0,11.64406779661017,1.7372248555307634,42,689.0,0.08461294032320564,42,689.0
60.0,63,143,33,20,83,0,576.0,9.142857142857142,2.9655216282129873,33,813.0,0.12566472624400052,33,813.0
70.0,63,174,35,30,93,0,848.0,13.46031746031746,3.3224027124424267,35,910.0,0.1421044545210461,35,910.0
80.0,62,204,48,41,103,0,1274.0,20.548387096774192,1.9836584137247026,48,1281.0,0.04886020026471528,48,1281.0
90.0,66,232,38,47,113,0,905.0,13.712121212121213,3.1344276157599245,38,1370.0,0.11946719867881717,38,1370.0
100.0,69,259,45,58,127,0,1175.0,17.028985507246375,2.465477308018365,45,1358.0,0.0765688780690061,45,1358.0
110.0,71,285,38,66,137,0,746.0,10.507042253521126,2.593145520350531,38,1359.0,0.08523236007986915,38,1359.0
120.0,67,316,39,78,145,0,894.0,13.343283582089553,2.8560886524842366,39,1350.0,0.13422929677361964,39,1350.0
130.0,68,333,49,86,154,0,790.0,11.617647058823529,0.9142450435908952,49,1535.0,0.03165567123803995,49,1535.0
140.0,68,373,54,90,158,0,1100.0,16.176470588235293,1.5263083637425383,54,1780.0,0.03893478312941119,54,1780.0
150.0,67,406,42,96,163,0,954.0,14.238805970149254,1.9132193684395618,42,1942.0,0.0852662085648564,42,1942.0
160.0,70,440,51,102,172,0,1282.0,18.314285714285713,2.3506272937262227,51,2094.0,0.07800912958903754,51,2094.0
170.0,71,468,41,111,182,0,1166.0,16.422535211267604,2.5407972905763176,41,2099.0,0.0885977054317771,41,2099.0
180.0,66,497,40,122,188,0,1358.0,20.575757575757574,3.1387302261818117,40,2139.0,0.09598449156780943,40,2139.0
190.0,63,515,31,135,198,0,1520.0,24.126984126984127,3.0254016171735403,31,2177.0,0.12928595933718395,31,2177.0
200.0,62,540,38,147,209,0,1845.0,29.758064516129032,3.08911978032687,38,2366.0,0.10959275414033619,38,2366.0
210.0,61,576,41,157,218,0,2135.0,35.0,2.7838737747964553,41,2645.0,0.10031660342457346,41,2645.0
220.0,58,607,47,167,225,0,2574.0,44.37931034482759,1.7290154107091533,47,3074.0,0.05402592057533831,47,3074.0
230.0,61,629,44,172,233,0,2322.0,38.0655737704918,1.4442303927010571,44,3264.0,0.06327267900636378,44,3264.0
240.0,62,659,44,176,238,0,2327.0,37.53225806451613,1.5190731092731269,44,3237.0,0.06242417960443943,44,3237.0
250.0,62,690,24,181,243,0,588.0,9.483870967741936,3.0616449529436425,24,2384.0,0.11718535443898886,24,2384.0
260.0,59,726,36,193,252,0,427.0,7.237288135593221,2.4796370644295833,36,1881.0,0.10528655183208484,36,1881.0
270.0,64,753,31,200,264,0,340.0,5.3125,3.0578321064162064,31,1888.0,0.12823187746431566,31,1888.0
280.0,68,774,37,209,277,0,622.0,9.147058823529411,3.858863108841398,37,1939.0,0.14998498967536447,37,1939.0
290.0,63,795,45,224,287,0,760.0,12.063492063492063,2.0024075046488683,45,1930.0,0.07778019751802226,45,1930.0
300.0,63,829,45,231,294,0,1105.0,17.53968253968254,2.181878392956879,45,2023.0,0.08953790542510594,45,2023.0
310.0,65,853,46,237,302,0,1055.0,16.23076923076923,1.6471113816029248,46,2055.0,0.06576464737796416,46,2055.0
320.0,70,883,48,241,311,0,1196.0,17.085714285714285,1.8245431166320558,48,2169.0,0.061147883350223906,48,2169.0
330.0,71,916,39,248,319,0,1075.0,15.140845070422536,2.6510206702942236,39,2322.0,0.08764979545840278,39,2322.0
340.0,68,939,40,260,328,0,1362.0,20.029411764705884,3.2947492241925294,40,2452.0,0.13175314656868348,40,2452.0
350.0,68,986,37,270,338,0,790.0,11.617647058823529,2.3555555895990636,37,1889.0,0.07490327832352506,37,1889.0
360.0,66,1015,44,281,347,0,986.0,14.93939393939394,2.3330231469159686,44,1777.0,0.09416678242943573,44,1777.0
370.0,67,1039,40,290,357,0,1012.0,15.104477611940299,2.324111298425455,40,1773.0,0.08931722090825697,40,1773.0
380.0,65,1077,38,299,364,0,1234.0,18.984615384615385,2.798474206300736,38,1814.0,0.10099782973394685,38,1814.0
390.0,63,1109,39,309,372,0,1461.0,23.19047619047619,2.392892411426648,39,2014.0,0.1098929280175557,39,2014.0
400.0,68,1139,49,316,384,0,1886.0,27.735294117647058,1.620655930966217,49,2395.0,0.06238024976345803,49,2395.0
410.0,68,1166,56,322,390,0,2416.0,35.529411764705884,1.610741084162361,56,2926.0,0.052230412160954066,56,2926.0
420.0,68,1188,40,328,396,0,2225.0,32.720588235294116,2.597808684203519,40,2849.0,0.0817396907910515,40,2849.0
430.0,65,1220,36,338,403,0,2450.0,37.69230769230769,3.458193183555907,36,2814.0,0.12019616568011073,36,2814.0
440.0,65,1234,45,349,414,0,2809.0,43.215384615384615,1.974548321816895,45,3180.0,0.06156840411503773,45,3180.0
450.0,64,1259,53,357,421,0,3297.0,51.515625,1.4653615177870687,53,3659.0,0.06495718038862225,53,3659.0
460.0,62,1296,46,362,424,0,2073.0,33.435483870967744,1.0903234776153397,46,3684.0,0.04848346455498747,46,3684.0
470.0,62,1334,46,366,428,0,1535.0,24.758064516129032,1.6443107450947994,46,3061.0,0.06455271446807188,46,3061.0
480.0,60,1358,38,372,432,0,1816.0,30.266666666666666,2.6121405611012865,38,3050.0,0.09524248462529185,38,3050.0
490.0,57,1395,41,382,439,0,2216.0,38.87719298245614,2.1581405928172437,41,3179.0,0.08274204035528285,41,3179.0
500.0,57,1433,42,388,445,0,2629.0,46.12280701754386,2.499778151551962,42,3592.0,0.08402714533277038,42,3592.0
510.0,57,1464,37,396,453,0,1961.0,34.40350877192982,2.0405794406857383,37,3641.0,0.09438463976319458,37,3641.0
520.0,60,1490,37,401,461,0,1570.0,26.166666666666668,2.705550759444491,37,3235.0,0.11277206518466663,37,3235.0
530.0,61,1519,36,409,470,0,1767.0,28.9672131147541,2.6214729255110027,36,3347.0,0.10168557614669033,36,3347.0
540.0,62,1539,41,419,481,0,2120.0,34.193548387096776,2.741935988445821,41,3653.0,0.09491804925452184,41,3653.0
550.0,61,1570,32,428,489,0,1106.0,18.131147540983605,2.865509655178273,32,2993.0,0.11181523007845577,32,2993.0
560.0,61,1598,39,438,499,0,1130.0,18.524590163934427,2.9070338493330743,39,2734.0,0.10369053883790955,39,2734.0
570.0,61,1621,36,448,509,0,1138.0,18.65573770491803,2.9730216716729445,36,2545.0,0.13119023148627348,36,2545.0
580.0,63,1651,43,456,519,0,1504.0,23.873015873015873,2.4239080915196056,43,2662.0,0.10439008835298916,43,2662.0
590.0,66,1685,42,463,529,0,1782.0,27.0,2.1200763990974876,42,2699.0,0.07780880428731894,42,2699.0
600.0,70,1714,50,471,541,0,2250.0,32.142857142857146,1.9924250750201022,50,3008.0,0.07811104654877472,50,3008.0
610.0,69,1736,38,479,548,0,1725.0,25.0,2.3874708985619852,38,3020.0,0.08576115135705116,38,3020.0
620.0,69,1766,40,489,558,0,1807.0,26.18840579710145,3.2564191812949588,40,3040.0,0.1410629394694481,40,3040.0
