step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J5_stopped,J5_accumulated_waiting_time,J5_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,13,13,1,0,13,0,0.0,0.0,8.085439456068865,1,0.0,0.5847641881463934,1,0.0
20.0,26,32,11,0,26,0,33.0,1.2692307692307692,4.523217058576297,11,34.0,0.2749817913829568,11,34.0
30.0,38,54,20,3,41,0,165.0,4.342105263157895,4.232029329370902,20,166.0,0.21689453996549207,20,166.0
40.0,47,75,21,9,56,0,223.0,4.74468085106383,3.503645809723734,21,253.0,0.1816595648654924,21,253.0
50.0,57,96,33,16,73,0,481.0,8.43859649122807,2.8239856487346753,33,484.0,0.11558606993696147,33,484.0
60.0,60,105,31,24,84,0,635.0,10.583333333333334,3.082455904223889,31,688.0,0.12271831561564418,31,688.0
70.0,58,126,37,35,93,0,972.0,16.75862068965517,3.08067408878378,37,978.0,0.10325777228265538,37,978.0
80.0,60,151,34,44,104,0,1150.0,19.166666666666668,2.5920581016144,34,1219.0,0.10219576823023001,34,1219.0
90.0,57,183,39,54,111,0,1495.0,26.228070175438596,2.6298684405967068,39,1520.0,0.08832260224675081,39,1520.0
100.0,56,215,38,63,119,0,1212.0,21.642857142857142,1.719086099589298,38,1652.0,0.08648956730467858,38,1652.0
110.0,60,249,41,67,127,0,1334.0,22.233333333333334,1.75812218132916,41,1711.0,0.06273354300355391,41,1711.0
120.0,62,278,29,72,134,0,619.0,9.983870967741936,2.955104165965897,29,1505.0,0.11990090046366493,29,1505.0
130.0,66,315,43,83,149,0,742.0,11.242424242424242,2.2046383876838167,43,1422.0,0.09011453224449055,43,1422.0
140.0,70,342,46,90,160,0,987.0,14.1,2.215813592356307,46,1729.0,0.08620948724533485,46,1729.0
150.0,70,372,55,98,168,0,1484.0,21.2,1.8812436843486162,55,2161.0,0.05245169942660517,55,2161.0
160.0,70,391,48,106,176,0,1524.0,21.771428571428572,2.034690515313155,48,2260.0,0.08492048835995612,48,2260.0
170.0,70,419,52,112,182,0,1901.0,27.15714285714286,1.8723558992206153,52,2285.0,0.048637578413315334,52,2285.0
180.0,70,455,45,121,191,0,1088.0,15.542857142857143,2.027819222907381,45,2223.0,0.07747000501029135,45,2223.0
190.0,69,488,47,130,199,0,1164.0,16.869565217391305,2.7814000586848056,47,2021.0,0.10741871278981872,47,2021.0
200.0,66,503,45,140,206,0,1490.0,22.575757575757574,2.2037089931982723,45,2325.0,0.0897036338499722,45,2325.0
210.0,68,528,53,147,215,0,1960.0,28.823529411764707,2.145910099529886,53,2642.0,0.0872066679346147,53,2642.0
