step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J5_stopped,J5_accumulated_waiting_time,J5_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,14,34,2,0,14,0,0.0,0.0,6.811095380318784,2,0.0,0.4972171230784137,2,0.0
20.0,29,52,7,0,29,0,19.0,0.6551724137931034,6.062550656719357,7,19.0,0.3272648280634147,7,19.0
30.0,39,69,14,6,45,0,84.0,2.1538461538461537,4.8609692256131725,14,85.0,0.23696605298597068,14,85.0
40.0,44,84,23,15,59,0,269.0,6.113636363636363,3.884194201053586,23,271.0,0.17592032756707018,23,271.0
50.0,52,100,33,21,73,0,542.0,10.423076923076923,3.0459417155590236,33,545.0,0.1384670655197259,33,545.0
60.0,60,114,40,27,87,0,629.0,10.483333333333333,2.179235938029087,40,785.0,0.09261151310836292,40,785.0
70.0,64,137,44,32,96,0,1014.0,15.84375,1.8461402557885251,44,1166.0,0.07992905578507287,44,1166.0
80.0,71,161,47,37,108,0,874.0,12.309859154929578,1.828159616872928,47,1349.0,0.07419599725359867,47,1349.0
90.0,73,200,55,45,118,0,1239.0,16.972602739726028,2.212433131608213,55,1504.0,0.07479769907033285,55,1504.0
100.0,70,240,49,54,124,0,1512.0,21.6,1.8656474489537511,49,1788.0,0.0673275325064106,49,1788.0
110.0,70,278,51,61,131,0,1981.0,28.3,2.2454873252551812,51,2094.0,0.06672387025695993,51,2094.0
120.0,69,303,45,71,140,0,2271.0,32.91304347826087,2.02892444463536,45,2366.0,0.07157018464606033,45,2366.0
130.0,70,337,51,78,148,0,2740.0,39.142857142857146,2.7084176555179265,51,2757.0,0.09064433577783197,51,2757.0
140.0,69,355,41,88,157,0,1764.0,25.565217391304348,2.6478187627162617,41,2623.0,0.07450819064482227,41,2623.0
150.0,62,382,39,102,164,0,1536.0,24.774193548387096,3.284620835253523,39,2218.0,0.1391602372647041,39,2218.0
160.0,58,414,40,112,170,0,1919.0,33.08620689655172,2.7878607592460756,40,2062.0,0.10208605779673839,40,2062.0
170.0,57,439,39,121,178,0,2212.0,38.80701754385965,1.8730319702016804,39,2330.0,0.06064639548728163,39,2330.0
180.0,59,472,43,127,186,0,2613.0,44.28813559322034,1.7730077371361064,43,2692.0,0.08472396032914016,43,2692.0
190.0,62,509,29,132,194,0,1942.0,31.322580645161292,3.083825451504732,29,2528.0,0.1303955687755612,29,2528.0
200.0,62,534,36,143,205,0,2054.0,33.12903225806452,3.4529828770606956,36,2254.0,0.1323801926847889,36,2254.0
210.0,63,559,35,153,216,0,2230.0,35.3968253968254,2.334596932731273,35,2465.0,0.10007827108567617,35,2465.0
220.0,65,588,41,161,226,0,2594.0,39.90769230769231,2.5209321404094274,41,2768.0,0.1026914807502002,41,2768.0
230.0,67,610,43,170,237,0,2847.0,42.492537313432834,2.0517982043290695,43,2950.0,0.08607073119244414,43,2950.0
240.0,70,636,50,177,247,0,3310.0,47.285714285714285,1.986700631591823,50,3344.0,0.0650149410419209,50,3344.0
250.0,70,674,39,185,255,0,2882.0,41.17142857142857,2.494799181405357,39,3403.0,0.088400411520596,39,3403.0
260.0,67,703,37,196,263,0,3030.0,45.223880597014926,3.474938307547637,37,3317.0,0.13494611378235682,37,3317.0
