step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J5_stopped,J5_accumulated_waiting_time,J5_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,14,24,2,0,14,0,0.0,0.0,7.699533705331098,2,0.0,0.5575593592421181,2,0.0
20.0,28,40,7,1,29,0,20.0,0.7142857142857143,5.658867100630245,7,20.0,0.3365631220058301,7,20.0
30.0,35,58,19,7,42,0,135.0,3.857142857142857,3.763663720242651,19,137.0,0.21260212562360695,19,137.0
40.0,47,84,18,11,58,0,174.0,3.702127659574468,4.230368489654623,18,199.0,0.20556040604209566,18,199.0
50.0,50,119,25,21,71,0,370.0,7.4,3.3669039562707526,25,389.0,0.15701311186342184,25,389.0
60.0,56,141,25,29,85,0,452.0,8.071428571428571,3.726024596519299,25,516.0,0.16859006740514995,25,516.0
70.0,58,168,38,40,98,0,742.0,12.793103448275861,2.879684163962052,38,787.0,0.11841199988543902,38,787.0
80.0,60,184,33,49,109,0,643.0,10.716666666666667,2.7683448599918234,33,913.0,0.12199839490280039,33,913.0
90.0,66,202,41,56,122,0,938.0,14.212121212121213,2.8784562224629973,41,1015.0,0.11337330826831085,41,1015.0
100.0,67,230,42,65,132,0,1183.0,17.65671641791045,2.8505043210089744,42,1303.0,0.08948205943756941,42,1303.0
110.0,63,264,49,77,140,0,1641.0,26.047619047619047,1.823009272652566,49,1703.0,0.05150954770232353,49,1703.0
120.0,64,292,33,84,148,0,1273.0,19.890625,2.9361542016017124,33,1672.0,0.10692034575041796,33,1672.0
130.0,61,321,30,93,154,0,1415.0,23.19672131147541,3.625932690212376,30,1629.0,0.14274628609739146,30,1629.0
140.0,61,342,40,105,166,0,928.0,15.21311475409836,1.8736494285601657,40,1590.0,0.07510249639404727,40,1590.0
150.0,66,376,44,110,176,0,736.0,11.151515151515152,1.6840757751712583,44,1421.0,0.0662343426861277,44,1421.0
160.0,69,406,44,115,184,0,744.0,10.782608695652174,1.383548205565492,44,1574.0,0.06427206705649316,44,1574.0
170.0,74,436,51,119,193,0,1103.0,14.905405405405405,1.9301375246552133,51,1847.0,0.07401408840003958,51,1847.0
180.0,74,459,43,127,201,0,917.0,12.391891891891891,2.2988429479353605,43,1863.0,0.07635462271747773,43,1863.0
190.0,71,492,43,138,209,0,1137.0,16.014084507042252,3.2873440226960913,43,1968.0,0.1406562811271003,43,1968.0
200.0,67,528,43,151,218,0,1387.0,20.70149253731343,2.269672999123689,43,2014.0,0.07674836855027836,43,2014.0
210.0,66,560,42,160,226,0,1691.0,25.62121212121212,2.9230786272652804,42,2293.0,0.10513266012255656,42,2293.0
220.0,63,589,43,170,233,0,2107.0,33.44444444444444,2.7091610644262563,43,2609.0,0.07777825055048969,43,2609.0
230.0,60,620,40,180,240,0,2405.0,40.083333333333336,2.267333460121343,40,2888.0,0.09707960811554664,40,2888.0
240.0,60,644,48,188,248,0,2842.0,47.36666666666667,1.7275369560269687,48,3301.0,0.06356735056481891,48,3301.0
250.0,61,662,34,194,255,0,1863.0,30.540983606557376,3.0335435135839064,34,2912.0,0.12194306552206761,34,2912.0
