step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J5_stopped,J5_accumulated_waiting_time,J5_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,14,17,1,0,14,0,0.0,0.0,7.479812350009593,1,0.0,0.547151150308456,1,0.0
20.0,28,42,10,1,29,0,30.0,1.0714285714285714,4.8184068946049825,10,30.0,0.3144523942220909,10,30.0
30.0,39,71,14,4,43,0,108.0,2.769230769230769,4.56801980498181,14,109.0,0.24502253925047612,14,109.0
40.0,45,99,26,12,57,0,308.0,6.844444444444444,3.1504384232613556,26,309.0,0.1471111379011746,26,309.0
50.0,56,121,27,17,73,0,364.0,6.5,2.9129548738105018,27,424.0,0.14248935269488586,27,424.0
60.0,62,141,36,24,86,0,670.0,10.806451612903226,2.4995898995823325,36,676.0,0.10346483254513658,36,676.0
70.0,65,166,27,32,97,0,446.0,6.861538461538461,3.0731111443949537,27,692.0,0.11303613131088126,27,692.0
80.0,67,184,39,45,112,0,698.0,10.417910447761194,2.4053103261680064,39,809.0,0.09456956564420856,39,809.0
90.0,69,215,50,54,123,0,1074.0,15.565217391304348,1.42017925041644,50,1201.0,0.07352505000536394,50,1201.0
100.0,73,237,55,57,130,0,1584.0,21.698630136986303,1.5324326925332894,55,1704.0,0.07562999323637876,55,1704.0
110.0,77,261,49,61,138,0,1939.0,25.181818181818183,2.4662820814512596,49,2037.0,0.08370528194971115,49,2037.0
120.0,72,294,53,74,146,0,2439.0,33.875,2.3399534142631717,53,2476.0,0.06974861305382268,53,2476.0
130.0,70,318,38,83,153,0,1232.0,17.6,2.982815650105553,38,2172.0,0.09765878821081267,38,2172.0
140.0,67,333,33,95,162,0,1043.0,15.567164179104477,3.7957011806764736,33,1600.0,0.1516239055961455,33,1600.0
150.0,66,370,41,109,175,0,1370.0,20.757575757575758,2.7250835006059093,41,1470.0,0.10864300159897852,41,1470.0
160.0,66,411,44,118,184,0,1362.0,20.636363636363637,2.0079361555049884,44,1783.0,0.061435443109196304,44,1783.0
170.0,63,451,41,127,190,0,1215.0,19.285714285714285,2.115503863893853,41,1925.0,0.07858797856027387,41,1925.0
180.0,64,485,43,134,198,0,1336.0,20.875,2.0852771685384694,43,1956.0,0.08126366769678592,43,1956.0
190.0,67,509,39,141,208,0,977.0,14.582089552238806,2.535974343131917,39,1996.0,0.09468488361599224,39,1996.0
200.0,65,546,42,151,216,0,1208.0,18.584615384615386,3.0251960069263997,42,1945.0,0.11081076320714359,42,1945.0
210.0,66,581,44,160,226,0,1341.0,20.318181818181817,2.1934068160908198,44,2188.0,0.08231826063988396,44,2188.0
220.0,66,618,49,169,235,0,1754.0,26.575757575757574,1.748378659062132,49,2535.0,0.07229321734344316,49,2535.0
230.0,67,649,42,174,241,0,1938.0,28.925373134328357,2.3295188081900826,42,2691.0,0.08515636976317852,42,2691.0
240.0,66,682,46,183,249,0,2313.0,35.04545454545455,1.7667357862153692,46,3026.0,0.060990330641691334,46,3026.0
250.0,67,708,40,190,257,0,2111.0,31.507462686567163,1.639538569446474,40,3152.0,0.058914209598382936,40,3152.0
260.0,63,747,43,197,260,0,2414.0,38.317460317460316,2.3448492219561277,43,3306.0,0.07554382131283736,43,3306.0
270.0,59,778,37,205,264,0,2703.0,45.813559322033896,3.202335278830553,37,3251.0,0.11112241243536898,37,3251.0
280.0,57,805,36,215,272,0,2829.0,49.63157894736842,2.464707636838068,36,3467.0,0.09412923803705395,36,3467.0
290.0,60,836,41,222,282,0,3135.0,52.25,2.2671324492725393,41,3734.0,0.08491216089827366,41,3734.0
300.0,64,858,47,229,293,0,3566.0,55.71875,1.9354553730076103,47,4076.0,0.0566551381714986,47,4076.0
310.0,66,894,44,236,302,0,1795.0,27.196969696969695,1.5163855759711327,44,3917.0,0.08349545473890296,44,3917.0
320.0,69,919,50,240,309,0,1557.0,22.565217391304348,2.034328681832394,50,2468.0,0.05833315096959158,50,2468.0
330.0,68,950,37,249,317,0,939.0,13.808823529411764,2.447919938763738,37,2056.0,0.09132091454343183,37,2056.0
340.0,68,973,40,258,326,0,1108.0,16.294117647058822,2.7536267563867227,40,2087.0,0.09300724639726138,40,2087.0
350.0,65,1002,46,270,335,0,1487.0,22.876923076923077,1.864303683047777,46,2481.0,0.0634632900186408,46,2481.0
360.0,65,1043,46,276,341,0,1754.0,26.984615384615385,1.2530638686352726,46,2493.0,0.05373920303237568,46,2493.0
370.0,69,1067,48,280,349,0,2174.0,31.507246376811594,2.2079744359485174,48,2540.0,0.07007817443696858,48,2540.0
380.0,69,1100,37,288,357,0,1753.0,25.405797101449274,2.682014427299758,37,2544.0,0.0998106428442786,37,2544.0
390.0,66,1130,46,300,366,0,1998.0,30.272727272727273,2.243884671230101,46,2564.0,0.07485958853529665,46,2564.0
400.0,67,1154,45,308,375,0,2241.0,33.44776119402985,2.2946125290538664,45,2877.0,0.09383407913302519,45,2877.0
410.0,70,1188,49,314,384,0,2701.0,38.58571428571429,2.136689270953292,49,3277.0,0.06969241490064362,49,3277.0
420.0,72,1218,45,322,394,0,1270.0,17.63888888888889,2.5357272753374294,45,2793.0,0.0792372818299657,45,2793.0
430.0,65,1248,46,334,399,0,1130.0,17.384615384615383,2.387033435194165,46,2102.0,0.09066557247579782,46,2102.0
440.0,66,1288,35,342,408,0,1031.0,15.621212121212121,2.7840192833692217,35,1914.0,0.10536915544713131,35,1914.0
450.0,64,1307,40,353,417,0,1321.0,20.640625,2.8900121569757897,40,1991.0,0.09824839748440127,40,1991.0
460.0,63,1325,41,364,427,0,913.0,14.492063492063492,1.383640842663653,41,2052.0,0.07109097876451953,41,2052.0
470.0,69,1352,46,367,436,0,1011.0,14.652173913043478,1.7709176359596355,46,1995.0,0.05922330303242383,46,1995.0
480.0,71,1388,46,374,445,0,952.0,13.408450704225352,1.8513826029346185,46,1746.0,0.06541230180974934,46,1746.0
490.0,70,1409,49,381,451,0,1300.0,18.571428571428573,2.219700655147119,49,1807.0,0.07920266025193509,49,1807.0
500.0,68,1437,46,390,458,0,1141.0,16.779411764705884,2.115120848006289,46,1901.0,0.08374658578230404,46,1901.0
510.0,68,1457,47,397,465,0,1182.0,17.38235294117647,2.050835689147501,47,1962.0,0.072533087993942,47,1962.0
520.0,69,1484,44,405,474,0,968.0,14.028985507246377,2.2140449898576953,44,1915.0,0.06882831165711148,44,1915.0
530.0,68,1511,51,415,483,0,1300.0,19.11764705882353,1.7205047412647647,51,2072.0,0.060356220622927795,51,2072.0
540.0,73,1525,59,421,494,0,1844.0,25.26027397260274,1.2137218067703175,59,2439.0,0.04908144522052222,59,2439.0
550.0,72,1566,62,426,498,0,2460.0,34.166666666666664,1.0510446123965385,62,3062.0,0.038194004215162426,62,3062.0
560.0,74,1585,53,430,504,0,2224.0,30.054054054054053,1.7321727840031351,53,3193.0,0.0526082400742024,53,3193.0
570.0,70,1621,48,438,508,0,2443.0,34.9,2.3161507657230676,48,3248.0,0.09537057498854155,48,3248.0
580.0,69,1662,45,446,515,0,1676.0,24.28985507246377,1.1359343757000535,45,3357.0,0.057143594759521,45,3357.0
590.0,73,1696,51,449,522,0,1583.0,21.684931506849313,2.144522098653475,51,2760.0,0.06438845454332572,51,2760.0
600.0,73,1719,48,457,530,0,1652.0,22.63013698630137,1.6890472887631727,48,3053.0,0.06404297185101833,48,3053.0
