episode,step,reward,queue,action
1,0,0,0,1
1,1,-2,2,1
1,2,-1,1,1
1,3,-3,4,1
1,4,-1,3,0
1,5,-3,6,1
1,6,-4,10,0
1,7,-9,1,1
1,8,-3,4,1
1,9,-2,6,1
1,10,-3,9,1
1,11,-3,12,1
1,12,-2,14,1
1,13,-3,17,1
1,14,-10,7,0
1,15,-1,6,1
1,16,0,6,1
1,17,-4,10,1
1,18,-3,13,1
1,19,-2,15,1
1,20,-2,17,1
1,21,-3,20,1
1,22,-3,23,1
1,23,-3,26,1
1,24,-10,16,0
1,25,-9,7,0
1,26,-1,8,1
1,27,-10,18,1
1,28,-8,10,0
1,29,-5,5,1
1,30,-4,9,0
1,31,-4,13,0
1,32,-9,4,1
1,33,-1,3,0
1,34,-1,4,0
1,35,-5,9,1
1,36,-7,2,1
1,37,-3,5,1
1,38,-2,7,1
1,39,-5,2,0
1,40,-4,6,1
1,41,-4,2,1
1,42,-3,5,0
1,43,-2,7,1
1,44,-4,3,0
1,45,-3,6,1
1,46,-4,2,1
1,47,-2,4,1
1,48,-2,2,0
1,49,-4,6,1
1,50,-3,3,1
1,51,-2,5,1
1,52,-2,3,0
1,53,-4,7,1
1,54,-5,2,1
1,55,-2,4,1
1,56,-3,1,0
1,57,-5,6,1
1,58,-4,2,1
1,59,-3,5,1
1,60,-2,7,1
1,61,-4,11,1
1,62,-2,13,1
1,63,-9,4,0
1,64,-2,6,1
1,65,-4,2,1
1,66,-2,4,1
1,67,-3,7,1
1,68,-3,10,1
1,69,-3,13,1
1,70,-2,15,1
1,71,-3,18,1
1,72,-10,8,0
1,73,-2,6,1
1,74,0,6,1
1,75,-5,11,0
1,76,-2,13,1
1,77,-3,16,1
1,78,-10,6,0
1,79,0,6,1
1,80,-1,5,1
1,81,-4,9,1
1,82,-8,1,0
1,83,-4,5,0
1,84,-3,2,1
1,85,-3,5,0
1,86,-2,3,0
1,87,-4,7,1
1,88,-5,2,1
1,89,-3,5,0
1,90,-4,1,0
1,91,-5,6,1
1,92,-5,1,1
1,93,-3,4,1
1,94,-1,3,0
1,95,-3,6,1
1,96,-5,1,1
1,97,-3,4,0
1,98,-3,7,1
1,99,-3,10,1
1,100,-8,2,0
1,101,-5,7,0
1,102,-6,1,1
1,103,-3,4,0
1,104,-2,6,1
1,105,-4,2,0
1,106,-4,6,1
1,107,-4,2,1
1,108,-2,4,1
1,109,-2,2,0
1,110,-4,6,1
1,111,-4,10,0
1,112,-9,1,1
1,113,-3,4,0
1,114,-2,6,1
1,115,-3,9,1
1,116,-3,12,1
1,117,-3,15,1
1,118,-9,6,0
1,119,-1,7,1
1,120,-3,4,1
1,121,-4,8,0
1,122,-5,3,0
1,123,-3,6,1
1,124,-4,2,1
1,125,-2,4,1
1,126,-2,6,1
1,127,-3,9,1
1,128,-7,2,0
1,129,-3,5,1
1,130,-5,10,0
1,131,-8,2,1
1,132,-3,5,0
1,133,-2,7,1
1,134,-5,2,0
1,135,-3,5,0
1,136,-4,1,1
1,137,-4,5,1
1,138,-1,6,1
1,139,-3,9,1
1,140,-3,12,1
1,141,-3,15,1
1,142,-2,17,1
1,143,-3,20,1
1,144,-3,23,1
1,145,-3,26,1
1,146,-11,15,0
1,147,-10,5,0
1,148,-3,8,1
1,149,-11,19,0
1,150,-9,10,0
1,151,-5,5,1
1,152,-2,7,1
1,153,-4,11,1
1,154,-7,4,0
1,155,-3,7,1
1,156,-3,10,0
1,157,-8,2,1
1,158,-3,5,0
1,159,-2,3,0
1,160,-4,7,0
1,161,-5,2,1
1,162,-2,4,1
1,163,-2,2,0
1,164,-4,6,1
1,165,-4,2,1
1,166,-3,5,0
1,167,-2,3,0
1,168,-3,6,1
1,169,-5,1,1
1,170,-4,5,1
1,171,-2,7,1
1,172,-5,2,0
1,173,-3,5,1
1,174,-4,1,1
1,175,-4,5,1
1,176,-2,7,1
1,177,-2,9,1
1,178,-3,12,1
1,179,-8,4,0
1,180,-1,5,1
1,181,-2,3,1
1,182,-2,5,0
1,183,-3,8,1
1,184,-5,3,0
1,185,-3,6,1
1,186,-5,1,1
1,187,-3,4,1
1,188,-3,7,1
1,189,-5,2,0
1,190,-3,5,1
1,191,-3,2,1
1,192,-3,5,1
1,193,-2,7,1
1,194,-3,10,1
1,195,-8,2,0
1,196,-3,5,1
1,197,-3,2,1
1,198,-2,4,1
1,199,-3,7,1
2,0,0,0,1
2,1,-2,2,1
2,2,-5,7,0
2,3,-6,1,1
2,4,-3,4,0
2,5,-4,8,1
2,6,-6,2,0
2,7,-4,6,1
2,8,-4,2,1
2,9,-3,5,0
2,10,-4,1,0
2,11,-4,5,1
2,12,-4,1,1
2,13,-3,4,0
2,14,-2,6,1
2,15,-4,2,0
2,16,-4,6,0
2,17,-3,9,0
2,18,-8,1,1
2,19,-3,4,1
2,20,-2,6,1
2,21,-3,9,1
2,22,-7,2,0
2,23,-4,6,1
2,24,-5,1,1
2,25,-3,4,0
2,26,-3,7,1
2,27,-5,2,0
2,28,-4,6,1
2,29,-5,1,1
2,30,-3,4,1
2,31,-3,7,1
2,32,-6,1,0
2,33,-5,6,1
2,34,-5,1,1
2,35,-3,4,0
2,36,-2,2,0
2,37,-3,5,1
2,38,-3,2,1
2,39,-2,4,1
2,40,-2,2,0
2,41,-3,5,1
2,42,-3,2,1
2,43,-2,4,0
2,44,-1,3,0
2,45,-3,6,1
2,46,-4,2,1
2,47,-2,4,0
2,48,-2,2,0
2,49,-4,6,1
2,50,-4,2,1
2,51,-3,5,0
2,52,-3,8,1
2,53,-5,3,0
2,54,-4,7,1
2,55,-6,1,1
2,56,-2,3,0
2,57,-1,2,0
2,58,-4,6,1
2,59,-4,2,1
2,60,-3,5,1
2,61,-2,7,1
2,62,-6,1,0
2,63,-4,5,1
2,64,-4,1,1
2,65,-3,4,1
2,66,-1,3,0
2,67,-3,6,1
2,68,-5,1,1
2,69,-3,4,1
2,70,-3,7,1
2,71,-3,10,1
2,72,-8,2,0
2,73,-3,5,1
2,74,-5,10,0
2,75,-8,2,1
2,76,-3,5,1
2,77,-2,7,1
2,78,-3,10,1
2,79,-2,12,1
2,80,-3,15,1
2,81,-3,18,1
2,82,-9,9,0
2,83,-4,5,0
2,84,-2,7,1
2,85,-3,10,1
2,86,-3,13,1
2,87,-2,15,1
2,88,-8,7,0
2,89,-2,5,1
2,90,-5,10,0
2,91,-8,2,1
2,92,-3,5,1
2,93,-2,7,1
2,94,-4,3,0
2,95,-3,6,1
2,96,-5,1,1
2,97,-3,4,0
2,98,-2,6,1
2,99,-4,2,0
2,100,-3,5,1
2,101,-4,9,0
2,102,-5,14,0
2,103,-9,5,1
2,104,-1,4,0
2,105,-3,7,1
2,106,-5,2,0
2,107,-3,5,1
2,108,-3,2,1
2,109,-2,4,1
2,110,-2,2,0
2,111,-3,5,0
2,112,-4,1,1
2,113,-3,4,1
2,114,-3,7,1
2,115,-7,0,0
2,116,-4,4,1
2,117,-2,2,1
2,118,-3,5,0
2,119,-2,7,1
2,120,-3,10,1
2,121,-3,13,1
2,122,-9,4,0
2,123,-3,7,1
2,124,-3,4,1
2,125,-2,6,1
2,126,-3,9,1
2,127,-7,2,0
2,128,-3,5,1
2,129,-5,0,1
2,130,-3,3,1
2,131,-3,6,1
2,132,-3,9,1
2,133,-2,11,1
2,134,-3,14,1
2,135,-8,6,0
2,136,0,6,1
2,137,-1,5,1
2,138,-2,7,1
2,139,-3,10,1
2,140,-3,13,1
2,141,-9,4,0
2,142,-1,5,1
2,143,-1,4,1
2,144,-2,6,0
2,145,-4,2,0
2,146,-4,6,1
2,147,-4,2,1
2,148,-2,4,1
2,149,-2,2,0
2,150,-4,6,1
2,151,-4,2,1
2,152,-3,5,0
2,153,-2,3,0
2,154,-3,6,0
2,155,-4,2,1
2,156,-3,5,1
2,157,-3,2,0
2,158,-4,6,1
2,159,-4,2,1
2,160,-3,5,0
2,161,-2,7,1
2,162,-5,2,0
2,163,-3,5,1
2,164,-3,2,1
2,165,-3,5,1
2,166,-3,2,0
2,167,-4,6,1
2,168,-5,1,1
2,169,-2,3,0
2,170,-4,7,1
2,171,-5,2,0
2,172,-4,6,1
2,173,-4,2,1
2,174,-2,4,1
2,175,-4,0,0
2,176,-4,4,1
2,177,-2,2,1
2,178,-2,4,1
2,179,-3,1,0
2,180,-5,6,1
2,181,-4,2,1
2,182,-3,5,0
2,183,-1,4,0
2,184,-3,7,1
2,185,-6,1,1
2,186,-2,3,0
2,187,-1,2,0
2,188,-4,6,1
2,189,-4,2,1
2,190,-3,5,1
2,191,-3,2,0
2,192,-3,5,1
2,193,-3,2,1
2,194,-3,5,0
2,195,-2,7,1
2,196,-3,10,1
2,197,-8,2,0
2,198,-3,5,1
2,199,-3,2,1
3,0,0,0,1
3,1,-2,2,1
3,2,-5,7,0
3,3,-3,10,0
3,4,-8,2,1
3,5,-3,5,1
3,6,-3,8,1
3,7,-2,10,1
3,8,-8,2,0
3,9,-4,6,1
3,10,-4,2,1
3,11,-2,4,0
3,12,-3,7,1
3,13,-2,9,1
3,14,-8,1,0
3,15,-5,6,0
3,16,-5,1,1
3,17,-3,4,1
3,18,0,4,0
3,19,-3,7,1
3,20,-6,1,1
3,21,-3,4,1
3,22,-2,2,0
3,23,-3,5,1
3,24,-4,1,1
3,25,-3,4,1
3,26,-2,2,0
3,27,-3,5,1
3,28,-4,1,1
3,29,-3,4,1
3,30,-3,7,1
3,31,-2,9,1
3,32,-8,1,0
3,33,-5,6,0
3,34,-5,1,1
3,35,-3,4,1
3,36,-2,2,0
3,37,-3,5,0
3,38,-5,10,0
3,39,-8,2,1
3,40,-3,5,0
3,41,-2,7,1
3,42,-5,2,0
3,43,-4,6,1
3,44,-5,1,1
3,45,-3,4,1
3,46,-3,7,1
3,47,-2,9,1
3,48,-7,2,0
3,49,-4,6,1
3,50,-3,3,1
3,51,-2,5,0
3,52,-2,7,1
3,53,-4,11,1
3,54,-9,2,0
3,55,-3,5,1
3,56,-2,3,1
3,57,-2,5,1
3,58,-3,2,0
3,59,-3,5,1
3,60,-4,1,1
3,61,-3,4,0
3,62,-2,2,0
3,63,-4,6,1
3,64,-5,1,1
3,65,-3,4,0
3,66,-2,2,0
3,67,-4,6,1
3,68,-5,1,1
3,69,-3,4,0
3,70,-3,7,1
3,71,-3,10,1
3,72,-2,12,1
3,73,-2,14,1
3,74,-8,6,0
3,75,-1,7,1
3,76,-2,5,1
3,77,-3,8,1
3,78,-3,11,1
3,79,-2,13,1
3,80,-8,5,0
3,81,-2,7,1
3,82,-3,4,1
3,83,-3,7,0
3,84,-5,2,0
3,85,-4,6,1
3,86,-4,2,1
3,87,-2,4,0
3,88,-1,3,0
3,89,-3,6,1
3,90,-5,1,1
3,91,-3,4,0
3,92,-3,7,1
