step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J5_stopped,J5_accumulated_waiting_time,J5_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,12,23,1,0,12,0,0.0,0.0,6.745912595345231,1,0.0,0.48136801461932793,1,0.0
20.0,26,48,6,0,26,0,24.0,0.9230769230769231,5.7321439825806895,6,24.0,0.30583484395880084,6,24.0
30.0,36,63,13,4,40,0,119.0,3.3055555555555554,4.2575080284109195,13,120.0,0.20118797127234087,13,120.0
40.0,45,89,26,9,54,0,325.0,7.222222222222222,3.11680948966062,26,326.0,0.1499041756948833,26,326.0
50.0,52,114,29,15,67,0,512.0,9.846153846153847,3.4212567394841633,29,513.0,0.1304836303284634,29,513.0
60.0,51,142,37,26,77,0,831.0,16.294117647058822,2.5176355040445717,37,832.0,0.11047174658234764,37,832.0
70.0,55,165,21,32,87,0,429.0,7.8,3.513025057246409,21,714.0,0.13820160195316733,21,714.0
80.0,55,196,25,43,98,0,586.0,10.654545454545454,3.962230320546277,25,685.0,0.1492888832075489,25,685.0
90.0,58,219,30,55,113,0,367.0,6.327586206896552,2.5184850483194943,30,704.0,0.09620111296528215,30,704.0
100.0,63,247,41,62,125,0,678.0,10.761904761904763,2.3311169543805805,41,878.0,0.09646349357805954,41,878.0
110.0,69,270,33,67,136,0,603.0,8.73913043478261,2.982601105316488,33,958.0,0.09880167777894097,33,958.0
120.0,65,314,41,79,144,0,983.0,15.123076923076923,3.2324998242787917,41,1161.0,0.081766752233257,41,1161.0
130.0,58,355,32,93,151,0,1200.0,20.689655172413794,3.0015411574965145,32,1321.0,0.10479254527420338,32,1321.0
140.0,54,388,35,104,158,0,1532.0,28.37037037037037,3.5159713104774393,35,1588.0,0.10308807806916516,35,1588.0
150.0,52,418,35,114,166,0,1215.0,23.365384615384617,1.8364741862585416,35,1661.0,0.0912656469092393,35,1661.0
160.0,57,447,39,118,175,0,1248.0,21.894736842105264,1.8255177036366057,39,1693.0,0.09279788527160936,39,1693.0
170.0,64,475,36,122,186,0,1368.0,21.375,2.296759135870727,36,1733.0,0.08301001820279336,36,1733.0
180.0,63,493,45,131,194,0,1771.0,28.11111111111111,2.5378606262950725,45,2068.0,0.06800831485482439,45,2068.0
190.0,59,527,33,141,200,0,1720.0,29.152542372881356,2.5716486054591776,33,2269.0,0.10614893005231447,33,2269.0
200.0,62,559,39,148,210,0,1993.0,32.145161290322584,2.780538416910998,39,2377.0,0.10700309558219595,39,2377.0
210.0,63,583,42,157,220,0,2041.0,32.3968253968254,1.9052486779401996,42,2496.0,0.08146447614500085,42,2496.0
220.0,64,619,47,163,227,0,2354.0,36.78125,1.502512389775167,47,2720.0,0.04393276384808937,47,2720.0
230.0,64,648,37,169,233,0,2398.0,37.46875,2.4106577146935217,37,2912.0,0.1009360559575888,37,2912.0
240.0,63,677,42,178,241,0,2782.0,44.15873015873016,2.93913793017549,42,3163.0,0.10637400855056221,42,3163.0
250.0,59,706,41,189,248,0,3077.0,52.152542372881356,2.224252177218962,41,3384.0,0.07388146641276028,41,3384.0
260.0,59,732,41,195,254,0,3446.0,58.40677966101695,2.3319688423826177,41,3605.0,0.08060289941904782,41,3605.0
270.0,59,774,26,202,261,0,815.0,13.813559322033898,3.4629419080217065,26,2579.0,0.13272740819199078,26,2579.0
280.0,58,799,35,215,273,0,509.0,8.775862068965518,2.6520359872670545,35,1624.0,0.10516493295016809,35,1624.0
290.0,67,822,28,222,289,0,321.0,4.791044776119403,2.9676364472275254,28,1685.0,0.12218009669302295,28,1685.0
300.0,67,854,38,233,300,0,576.0,8.597014925373134,3.524415381820188,38,1778.0,0.1218468381709805,38,1778.0
310.0,62,886,43,247,309,0,913.0,14.725806451612904,1.9938454208071208,43,2075.0,0.059003214727481795,43,2075.0
320.0,59,907,49,255,314,0,1382.0,23.423728813559322,1.1366269250873162,49,2540.0,0.05301453266259352,49,2540.0
330.0,63,949,35,258,321,0,1166.0,18.50793650793651,2.87301857265859,35,1982.0,0.11562424544047888,35,1982.0
340.0,60,972,36,269,329,0,1102.0,18.366666666666667,2.891175758861116,36,1767.0,0.09612359754192024,36,1767.0
350.0,62,1002,35,278,340,0,623.0,10.048387096774194,1.5417623060361034,35,1912.0,0.08444013701641744,35,1912.0
360.0,69,1026,52,282,351,0,853.0,12.36231884057971,1.2013887754149537,52,2107.0,0.0413034541107976,52,2107.0
370.0,72,1065,44,286,358,0,611.0,8.48611111111111,1.5554820386972121,44,2081.0,0.059718562927709336,44,2081.0
380.0,69,1101,44,293,362,0,833.0,12.072463768115941,2.5446078772202267,44,1739.0,0.0822891326180621,44,1739.0
390.0,65,1139,33,303,368,0,763.0,11.738461538461538,2.817175103449553,33,1783.0,0.11045958986045658,33,1783.0
400.0,65,1176,46,315,380,0,1075.0,16.53846153846154,1.4748064105030714,46,1967.0,0.07500325462027184,46,1967.0
410.0,72,1203,46,319,391,0,832.0,11.555555555555555,2.2959463055056046,46,2014.0,0.07762903013841337,46,2014.0
420.0,70,1240,46,330,400,0,1007.0,14.385714285714286,2.592381071695713,46,2097.0,0.11443572015013953,46,2097.0
430.0,66,1273,49,338,404,0,1342.0,20.333333333333332,1.3748958560328908,49,2388.0,0.04044551640643744,49,2388.0
440.0,66,1306,53,343,409,0,1814.0,27.484848484848484,1.22822838267593,53,2783.0,0.0553084539532111,53,2783.0
450.0,69,1339,50,347,416,0,1591.0,23.057971014492754,1.1639984731062243,50,2962.0,0.05307438550183066,50,2962.0
460.0,74,1360,56,350,424,0,1759.0,23.77027027027027,1.5656237781881446,56,2799.0,0.046774008722384304,56,2799.0
470.0,69,1395,48,357,426,0,1046.0,15.159420289855072,1.498689617259178,48,2729.0,0.052017553621022436,48,2729.0
480.0,71,1431,47,362,433,0,991.0,13.95774647887324,1.6792765289261433,47,2727.0,0.05885243368455742,47,2727.0
490.0,73,1468,43,368,441,0,923.0,12.643835616438356,2.4668435905963877,43,2541.0,0.08564984238864116,43,2541.0
500.0,70,1496,42,379,449,0,1070.0,15.285714285714286,2.748239915464362,42,2451.0,0.09950777417633379,42,2451.0
510.0,68,1522,34,388,456,0,782.0,11.5,2.3441482469073414,34,2391.0,0.07852438073979313,34,2391.0
520.0,69,1540,48,397,466,0,1024.0,14.840579710144928,1.7883473213795005,48,2544.0,0.07044281895045636,48,2544.0
530.0,71,1572,52,403,474,0,1006.0,14.169014084507042,1.0490294338420572,52,2779.0,0.04935741038177208,52,2779.0
540.0,76,1601,58,406,482,0,1296.0,17.05263157894737,1.5571323404866126,58,2806.0,0.04465764747782299,58,2806.0
550.0,72,1635,50,414,486,0,1644.0,22.833333333333332,1.648837189626029,50,2858.0,0.05698312187930236,50,2858.0
560.0,69,1669,55,422,491,0,2144.0,31.07246376811594,1.4140023306080036,55,3276.0,0.05767843349229264,55,3276.0
570.0,73,1710,48,426,499,0,1777.0,24.34246575342466,2.3807925467075,48,3191.0,0.0892168519753524,48,3191.0
580.0,71,1738,45,435,506,0,1853.0,26.098591549295776,2.479488472273892,45,3085.0,0.10563278214759354,45,3085.0
590.0,71,1773,54,444,515,0,2058.0,28.985915492957748,0.90823174280805,54,3265.0,0.03278929556144407,54,3265.0
600.0,72,1786,54,448,520,0,2359.0,32.763888888888886,1.471945305161083,54,3455.0,0.047786573489532226,54,3455.0
610.0,73,1815,45,454,527,0,2371.0,32.47945205479452,1.82513852035043,45,3633.0,0.07606617449191339,45,3633.0
620.0,73,1842,57,461,534,0,2813.0,38.534246575342465,1.493841376193355,57,3932.0,0.04135044874405366,57,3932.0
630.0,74,1873,41,467,541,0,2686.0,36.2972972972973,2.4909423501255232,41,3854.0,0.08622482719255621,41,3854.0
640.0,69,1915,43,479,548,0,2956.0,42.84057971014493,3.315174396026278,43,3859.0,0.12022716766876791,43,3859.0
650.0,63,1952,42,492,555,0,1597.0,25.349206349206348,1.0972976576229396,42,3721.0,0.04430370707798985,42,3721.0
660.0,66,1975,48,495,561,0,1049.0,15.893939393939394,1.451804572576332,48,2843.0,0.027560277378386535,48,2843.0
