episode,reward,waiting_time,steps,avg_queue
1,-751,6.645,200,6.645
2,-706,4.795,200,4.795
3,-745,6.1,200,6.1
4,-763,7.47,200,7.47
5,-744,5.38,200,5.38
6,-706,4.27,200,4.27
7,-720,4.555,200,4.555
8,-731,5.195,200,5.195
9,-685,4.665,200,4.665
10,-712,5.41,200,5.41
11,-718,4.17,200,4.17
12,-717,4.92,200,4.92
13,-719,4.245,200,4.245
14,-713,4.255,200,4.255
15,-705,3.96,200,3.96
16,-710,4.635,200,4.635
17,-713,4.015,200,4.015
18,-723,5.295,200,5.295
19,-710,4.52,200,4.52
20,-716,4.21,200,4.21
21,-700,4.085,200,4.085
22,-747,5.96,200,5.96
23,-674,4.665,200,4.665
24,-700,4.56,200,4.56
25,-700,4.205,200,4.205
26,-666,4.06,200,4.06
27,-714,3.93,200,3.93
28,-689,3.71,200,3.71
29,-679,3.895,200,3.895
30,-687,4.05,200,4.05
31,-698,3.875,200,3.875
32,-678,3.94,200,3.94
33,-681,3.79,200,3.79
34,-664,3.745,200,3.745
35,-677,3.9,200,3.9
36,-673,3.82,200,3.82
37,-676,4.075,200,4.075
38,-667,3.58,200,3.58
39,-661,3.58,200,3.58
40,-651,4.13,200,4.13
41,-682,3.76,200,3.76
42,-702,3.865,200,3.865
43,-662,3.585,200,3.585
44,-675,3.89,200,3.89
45,-654,3.58,200,3.58
46,-647,3.64,200,3.64
47,-667,3.755,200,3.755
48,-658,3.61,200,3.61
49,-670,3.58,200,3.58
50,-666,3.525,200,3.525
51,-682,3.97,200,3.97
52,-674,3.735,200,3.735
53,-667,3.81,200,3.81
54,-695,3.935,200,3.935
55,-668,3.65,200,3.65
56,-673,3.655,200,3.655
57,-696,3.78,200,3.78
58,-668,3.55,200,3.55
59,-662,3.6,200,3.6
60,-667,4.055,200,4.055
61,-695,3.945,200,3.945
62,-660,3.725,200,3.725
63,-683,3.62,200,3.62
64,-670,3.605,200,3.605
65,-668,3.57,200,3.57
66,-682,3.72,200,3.72
67,-659,3.56,200,3.56
68,-688,3.795,200,3.795
69,-645,3.6,200,3.6
70,-644,3.625,200,3.625
71,-671,3.615,200,3.615
72,-686,3.92,200,3.92
73,-660,3.55,200,3.55
74,-664,3.695,200,3.695
75,-630,3.51,200,3.51
76,-665,3.65,200,3.65
