step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J5_stopped,J5_accumulated_waiting_time,J5_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,10,24,1,0,10,0,0.0,0.0,8.488877490119181,1,0.0,0.6101693090104401,1,0.0
20.0,23,59,5,2,25,0,14.0,0.6086956521739131,5.667936853062337,5,14.0,0.40282468790956893,5,14.0
30.0,35,78,11,6,41,0,48.0,1.3714285714285714,5.183236563974626,11,49.0,0.28154365422472394,11,49.0
40.0,41,113,21,14,55,0,192.0,4.682926829268292,3.488466007193535,21,195.0,0.1714379939120079,21,195.0
50.0,53,145,35,18,71,0,466.0,8.79245283018868,2.657936255433172,35,469.0,0.1144363188447745,35,469.0
60.0,60,173,32,24,84,0,541.0,9.016666666666667,2.4501319556449994,32,660.0,0.11895126292174142,32,660.0
70.0,67,199,41,31,98,0,866.0,12.925373134328359,2.776008073147414,41,890.0,0.11463616181698678,41,890.0
80.0,70,223,46,40,110,0,920.0,13.142857142857142,1.8176073154520047,46,1115.0,0.06291593491498393,46,1115.0
90.0,71,262,51,46,117,0,1248.0,17.577464788732396,1.8641446749636972,51,1455.0,0.06007639833728176,51,1455.0
100.0,72,285,50,53,125,0,1515.0,21.041666666666668,1.8240435879331425,50,1781.0,0.06564330220859799,50,1781.0
110.0,70,319,53,61,131,0,1998.0,28.542857142857144,2.1613460532613744,53,2197.0,0.06435622193089023,53,2197.0
120.0,67,342,49,70,137,0,2356.0,35.16417910447761,1.775262007514998,49,2467.0,0.06540880145401622,49,2467.0
130.0,70,376,53,75,145,0,2857.0,40.81428571428572,1.8361491311403608,53,2883.0,0.059177965699966376,53,2883.0
140.0,73,406,58,81,154,0,3407.0,46.67123287671233,1.593765464893226,58,3413.0,0.046306978445493946,58,3413.0
150.0,70,434,63,88,158,0,4015.0,57.357142857142854,1.1686038344852028,63,4021.0,0.027842194389530273,63,4021.0
160.0,70,474,41,93,163,0,2510.0,35.857142857142854,2.396124360195817,41,3702.0,0.08430045764364552,41,3702.0
170.0,68,506,36,104,172,0,2008.0,29.529411764705884,3.606221552584317,36,2876.0,0.1430441664348854,36,2876.0
180.0,66,551,42,116,182,0,1968.0,29.818181818181817,1.6855641744478573,42,3021.0,0.06169240371429408,42,3021.0
190.0,70,585,51,121,191,0,2283.0,32.614285714285714,1.5563597629429475,51,3296.0,0.05948640780607869,51,3296.0
200.0,71,621,54,127,198,0,2794.0,39.352112676056336,1.9646142426050897,54,3683.0,0.07820166960626775,54,3683.0
210.0,74,649,46,133,207,0,1354.0,18.2972972972973,2.3480920105187826,46,3245.0,0.08203204199551022,46,3245.0
220.0,69,683,51,144,213,0,1454.0,21.07246376811594,1.7391646103156084,51,2853.0,0.0410693944535449,51,2853.0
230.0,64,713,55,152,216,0,2001.0,31.265625,1.3190360952263875,55,2892.0,0.036072168821298815,55,2892.0
240.0,66,752,49,157,223,0,1906.0,28.87878787878788,1.2744274475174608,49,3196.0,0.061353925797892464,49,3196.0
250.0,69,792,56,160,229,0,2187.0,31.695652173913043,1.5240869602464386,56,3288.0,0.05868270152716737,56,3288.0
260.0,71,823,40,165,236,0,1216.0,17.12676056338028,2.6268231589849194,40,2562.0,0.10191821750728862,40,2562.0
270.0,69,846,39,177,246,0,1026.0,14.869565217391305,2.7534288360879917,39,1928.0,0.13181036069160165,39,1928.0
280.0,70,870,45,186,256,0,902.0,12.885714285714286,1.128869358482346,45,2100.0,0.057833529556488926,45,2100.0
290.0,71,900,54,190,261,0,1191.0,16.774647887323944,1.7328209825019674,54,2199.0,0.06248957109066307,54,2199.0
300.0,69,930,55,198,267,0,1711.0,24.797101449275363,1.426151859614251,55,2499.0,0.04993289147135302,55,2499.0
310.0,70,963,47,204,274,0,1870.0,26.714285714285715,2.1300739849109007,47,2437.0,0.07770168892341285,47,2437.0
320.0,69,989,41,212,281,0,2222.0,32.20289855072464,3.4727476694492196,41,2510.0,0.14377958361884366,41,2510.0
330.0,66,1018,46,224,290,0,2651.0,40.166666666666664,2.8599304366778107,46,2884.0,0.08516362678751498,46,2884.0
340.0,61,1054,48,237,298,0,3107.0,50.9344262295082,1.7420961413213447,48,3323.0,0.07193317256362544,48,3323.0
350.0,59,1099,38,242,301,0,2279.0,38.6271186440678,2.3488067001947113,38,3181.0,0.08884490621337661,38,3181.0
360.0,60,1129,38,250,310,0,2369.0,39.483333333333334,2.7330886626946906,38,2596.0,0.10557064038064201,38,2596.0
370.0,62,1157,42,258,320,0,2355.0,37.983870967741936,1.9683671989276899,42,2717.0,0.08731258247926946,42,2717.0
380.0,67,1187,54,264,331,0,2707.0,40.40298507462686,1.2539704916566012,54,3068.0,0.05048299175971941,54,3068.0
390.0,71,1222,39,268,339,0,2903.0,40.88732394366197,1.9668077241740245,39,3331.0,0.08690878144320036,39,3331.0
400.0,73,1260,55,274,347,0,3378.0,46.273972602739725,2.097585187421196,55,3686.0,0.05832923935096554,55,3686.0
410.0,71,1287,51,283,354,0,3736.0,52.61971830985915,1.5106545309053119,51,4041.0,0.05248282563990768,51,4041.0
420.0,69,1310,54,290,359,0,4203.0,60.91304347826087,1.3085059474833594,54,4430.0,0.05075424888078887,54,4430.0
430.0,71,1333,44,294,365,0,3644.0,51.32394366197183,2.1520377171903977,44,4445.0,0.06449048023808703,44,4445.0
440.0,65,1374,46,304,369,0,3814.0,58.676923076923075,2.491042610935371,46,4318.0,0.07613577471228351,46,4318.0
450.0,64,1405,46,314,378,0,4247.0,66.359375,2.4377254053508643,46,4561.0,0.09079941035843105,46,4561.0
460.0,60,1426,37,323,383,0,4059.0,67.65,2.673322045927907,37,4625.0,0.09835624752905164,37,4625.0
470.0,59,1459,39,333,392,0,4356.0,73.83050847457628,2.8261984055087623,39,4663.0,0.12258301688956999,39,4663.0
480.0,62,1478,39,340,402,0,4441.0,71.62903225806451,2.383861758959673,39,4705.0,0.09247001469596863,39,4705.0
490.0,63,1509,42,348,411,0,4589.0,72.84126984126983,1.9920383946152815,42,4872.0,0.09950311017590344,42,4872.0
500.0,70,1531,40,354,424,0,4679.0,66.84285714285714,2.6609190459716174,40,5088.0,0.10129591752533124,40,5088.0
510.0,67,1568,44,365,432,0,5088.0,75.94029850746269,3.16009670489544,44,5377.0,0.11021716370969492,44,5377.0
520.0,63,1601,35,377,440,0,5012.0,79.55555555555556,2.610373128065681,35,5495.0,0.09747413780133236,35,5495.0
530.0,63,1641,44,386,449,0,5347.0,84.87301587301587,2.2041275863876697,44,5636.0,0.08108891079093944,44,5636.0
540.0,67,1660,51,392,459,0,5790.0,86.41791044776119,2.283689268234658,51,6032.0,0.0625862324458693,51,6032.0
550.0,67,1682,55,401,468,0,6295.0,93.95522388059702,1.2019992886656607,55,6539.0,0.04449555941397302,55,6539.0
560.0,71,1707,53,405,476,0,6270.0,88.30985915492958,1.8764772905554024,53,6594.0,0.060387600324866536,53,6594.0
570.0,67,1748,52,413,480,0,6579.0,98.19402985074628,1.584547468843722,52,6717.0,0.056031174710124844,52,6717.0
580.0,67,1775,44,419,486,0,6838.0,102.05970149253731,2.1738473425976856,44,7089.0,0.09142556399940767,44,7089.0
590.0,70,1796,54,426,496,0,7320.0,104.57142857142857,2.2371267807848727,54,7528.0,0.06588765233094519,54,7528.0
600.0,69,1821,41,435,504,0,6717.0,97.34782608695652,2.555199214737222,41,7506.0,0.09646525414713956,41,7506.0
610.0,65,1844,39,447,512,0,6795.0,104.53846153846153,2.6069721270452337,39,7296.0,0.09760004458433823,39,7296.0
620.0,67,1877,47,456,523,0,6905.0,103.05970149253731,1.1913083591042415,47,7574.0,0.05656297758848882,47,7574.0
630.0,69,1897,57,461,530,0,7283.0,105.55072463768116,1.2282639432494589,57,7866.0,0.04475165575261849,57,7866.0
640.0,70,1939,34,465,535,0,1652.0,23.6,2.789031076082887,34,5838.0,0.11799396939302373,34,5838.0
650.0,67,1967,47,477,544,0,899.0,13.417910447761194,2.4352244810792136,47,3014.0,0.0495375972651841,47,3014.0
660.0,59,1997,30,488,547,0,491.0,8.322033898305085,2.7642315252137255,30,2936.0,0.09037391683584632,30,2936.0
670.0,57,2017,34,498,555,0,687.0,12.052631578947368,3.323584367290359,34,2860.0,0.11759838152370512,34,2860.0
680.0,60,2041,32,508,568,0,818.0,13.633333333333333,2.89077504550858,32,1926.0,0.14118117077944028,32,1926.0
690.0,62,2070,44,517,579,0,1182.0,19.06451612903226,1.8457255355183586,44,1866.0,0.08758000076611648,44,1866.0
700.0,66,2099,38,522,588,0,987.0,14.954545454545455,2.1304528357068406,38,1920.0,0.09009028655099684,38,1920.0
710.0,68,2130,43,529,597,0,1237.0,18.191176470588236,2.703008968863823,43,1853.0,0.08380109803203235,43,1853.0
720.0,65,2169,37,541,606,0,746.0,11.476923076923077,1.5625846584670222,37,1961.0,0.08079863214705683,37,1961.0
730.0,76,2204,49,544,620,0,784.0,10.31578947368421,2.1534770938001064,49,1632.0,0.07882523763659166,49,1632.0
740.0,78,2244,45,552,630,0,776.0,9.948717948717949,2.355354822195243,45,1801.0,0.09036097410302446,45,1801.0
750.0,76,2271,49,563,639,0,1181.0,15.539473684210526,2.2264440274250674,49,2042.0,0.06283260322149317,49,2042.0
760.0,72,2303,61,575,647,0,1738.0,24.13888888888889,0.8654629635434139,61,2544.0,0.038649093926112654,61,2544.0
770.0,74,2337,65,577,651,0,2363.0,31.93243243243243,1.0420773111069024,65,3173.0,0.038308209165184855,65,3173.0
780.0,72,2361,44,582,654,0,1594.0,22.13888888888889,2.35152607406967,44,3097.0,0.08537055084511691,44,3097.0
790.0,68,2394,37,592,660,0,1563.0,22.985294117647058,3.7962441861985177,37,2700.0,0.13161515549146727,37,2700.0
800.0,62,2426,43,608,670,0,1962.0,31.64516129032258,2.293737637216917,43,2780.0,0.09854740353664015,43,2780.0
810.0,68,2450,48,614,682,0,1848.0,27.176470588235293,1.2296058242704702,48,2909.0,0.06034153878132477,48,2909.0
820.0,69,2487,53,617,686,0,2141.0,31.028985507246375,1.8795185242399064,53,2959.0,0.07090028952895387,53,2959.0
830.0,67,2521,42,623,690,0,2409.0,35.95522388059702,2.2197054873608173,42,3197.0,0.06999633044897384,42,3197.0
840.0,66,2552,47,633,699,0,2855.0,43.25757575757576,2.5646547024957895,47,3580.0,0.09146055839354135,47,3580.0
850.0,61,2575,43,643,704,0,1834.0,30.065573770491802,1.3459975865764866,43,3538.0,0.062259299661538224,43,3538.0
860.0,65,2614,49,646,711,0,1845.0,28.384615384615383,1.5201234695569454,49,3521.0,0.07136651494096447,49,3521.0
870.0,67,2644,42,650,717,0,1959.0,29.238805970149254,2.4562213554142294,42,3540.0,0.07764432245890591,42,3540.0
880.0,65,2678,43,661,726,0,2238.0,34.43076923076923,2.1880965610428675,43,3798.0,0.08355564178921769,43,3798.0
890.0,62,2711,50,669,731,0,2698.0,43.516129032258064,1.3055103596863014,50,4285.0,0.044719972129246194,50,4285.0
900.0,66,2728,48,673,739,0,2956.0,44.78787878787879,2.150615986589328,48,3927.0,0.07051029934985541,48,3927.0
910.0,62,2752,45,681,743,0,3257.0,52.53225806451613,2.002686218660231,45,4012.0,0.07838056576328405,45,4012.0
920.0,63,2785,37,687,750,0,1760.0,27.936507936507937,2.6620787589459405,37,3591.0,0.09388029921396351,37,3591.0
