step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J5_stopped,J5_accumulated_waiting_time,J5_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,9,10,0,0,9,0,0.0,0.0,9.032194787314335,0,0.0,0.6524016476404056,0,0.0
20.0,24,28,5,2,26,0,14.0,0.5833333333333334,6.885414869634292,5,14.0,0.4169460579305529,5,14.0
30.0,35,50,8,6,41,0,37.0,1.0571428571428572,5.1623661567541115,8,39.0,0.2609589190542271,8,39.0
40.0,42,70,22,15,57,0,193.0,4.595238095238095,3.456711376843135,22,193.0,0.19152120676037052,22,193.0
50.0,54,84,36,19,73,0,468.0,8.666666666666666,2.467994157435592,36,468.0,0.11009427542322445,36,468.0
60.0,63,111,32,24,87,0,500.0,7.936507936507937,2.7556479595577557,32,659.0,0.12366010812847782,32,659.0
70.0,66,138,43,33,99,0,815.0,12.348484848484848,2.3212516945744857,43,862.0,0.09943181875599605,43,862.0
80.0,69,157,37,41,110,0,720.0,10.434782608695652,2.836232612271523,37,998.0,0.10513128322501122,37,998.0
90.0,65,184,42,54,119,0,1073.0,16.50769230769231,3.0667462994290946,42,1176.0,0.1060717178970163,42,1176.0
100.0,66,210,33,65,131,0,633.0,9.590909090909092,3.0608376777133297,33,1144.0,0.1205082001257207,33,1144.0
110.0,62,232,36,77,139,0,787.0,12.693548387096774,3.3036553879337527,36,1102.0,0.11865740155364936,36,1102.0
120.0,62,256,30,90,152,0,633.0,10.209677419354838,3.1694854593298314,30,1032.0,0.1484908159750314,30,1032.0
130.0,64,285,40,99,163,0,932.0,14.5625,2.8638963806093614,40,1102.0,0.09488129980739884,40,1102.0
140.0,64,309,38,108,172,0,934.0,14.59375,2.826786836382481,38,1235.0,0.09737106369056034,38,1235.0
150.0,65,339,42,117,182,0,1264.0,19.446153846153845,2.719572844195839,42,1477.0,0.09893725541814348,42,1477.0
160.0,67,359,46,127,194,0,909.0,13.567164179104477,1.656312864487839,46,1678.0,0.08982363051499133,46,1678.0
170.0,75,399,49,130,205,0,1017.0,13.56,2.2503954580881125,49,1632.0,0.08252712163669032,49,1632.0
180.0,74,431,45,138,212,0,838.0,11.324324324324325,2.4372444928745196,45,1636.0,0.07556193602240563,45,1636.0
190.0,72,467,51,149,221,0,1164.0,16.166666666666668,2.6308164548518107,51,1803.0,0.08823735792253931,51,1803.0
200.0,66,510,51,159,225,0,1541.0,23.348484848484848,1.5237969999936132,51,2005.0,0.06288586304789995,51,2005.0
210.0,69,537,54,164,233,0,2007.0,29.08695652173913,1.3738281042667027,54,2393.0,0.061784478545155966,54,2393.0
220.0,72,564,47,168,240,0,2314.0,32.138888888888886,2.3402328099130667,47,2697.0,0.08219954764161179,47,2697.0
230.0,66,601,49,180,246,0,2784.0,42.18181818181818,2.324238666567363,49,3086.0,0.07534993982976194,49,3086.0
240.0,66,630,39,188,254,0,1822.0,27.606060606060606,2.62383683804691,39,2773.0,0.10613134868119578,39,2773.0
250.0,66,665,41,197,263,0,1933.0,29.28787878787879,2.90746694892412,41,2482.0,0.11872736702239818,41,2482.0
260.0,64,694,36,208,272,0,2078.0,32.46875,2.9203327357249598,36,2615.0,0.11264366757277364,36,2615.0
270.0,62,725,39,220,282,0,2426.0,39.12903225806452,3.349652025606771,39,2874.0,0.1232643640105752,39,2874.0
280.0,60,753,38,232,292,0,2361.0,39.35,2.5436075877405475,38,2941.0,0.10465139439608233,38,2941.0
290.0,63,778,43,240,303,0,2645.0,41.98412698412698,1.906855498371306,43,3198.0,0.08864966862716923,43,3198.0
