episode,reward,waiting_time,steps,avg_queue
212,-108,34.085,200,34.085
213,-42,34.4,200,34.4
214,-50,34.285,200,34.285
215,-42,34.4,200,34.4
216,-50,34.285,200,34.285
217,-42,34.4,200,34.4
218,-42,34.4,200,34.4
219,-42,34.4,200,34.4
220,-42,34.4,200,34.4
221,-42,34.4,200,34.4
222,-42,34.4,200,34.4
223,-42,34.4,200,34.4
224,-42,34.4,200,34.4
225,-42,34.4,200,34.4
226,-42,34.4,200,34.4
227,-42,34.4,200,34.4
228,-42,34.4,200,34.4
229,-42,34.4,200,34.4
230,-42,34.4,200,34.4
231,-42,34.4,200,34.4
232,-42,34.4,200,34.4
233,-42,34.4,200,34.4
234,-42,34.4,200,34.4
235,-42,34.4,200,34.4
236,-50,34.285,200,34.285
237,-42,34.4,200,34.4
238,-42,34.4,200,34.4
239,-42,34.4,200,34.4
240,-42,34.4,200,34.4
241,-42,34.4,200,34.4
242,-42,34.4,200,34.4
243,-42,34.4,200,34.4
244,-42,34.4,200,34.4
245,-50,34.285,200,34.285
246,-42,34.4,200,34.4
247,-42,34.4,200,34.4
248,-42,34.4,200,34.4
249,-42,34.4,200,34.4
250,-42,34.4,200,34.4
251,-42,34.4,200,34.4
252,-42,34.4,200,34.4
253,-42,34.4,200,34.4
254,-42,34.4,200,34.4
255,-42,34.4,200,34.4
256,-42,34.4,200,34.4
257,-42,34.4,200,34.4
258,-42,34.4,200,34.4
259,-42,34.4,200,34.4
260,-42,34.4,200,34.4
261,-42,34.4,200,34.4
262,-42,34.4,200,34.4
263,-38,37.065,200,37.065
264,-38,37.065,200,37.065
265,-38,37.065,200,37.065
266,-42,34.4,200,34.4
267,-42,34.4,200,34.4
268,-50,34.285,200,34.285
269,-42,34.4,200,34.4
270,-42,34.4,200,34.4
271,-42,34.4,200,34.4
272,-42,34.4,200,34.4
273,-42,34.4,200,34.4
274,-42,34.4,200,34.4
275,-38,37.065,200,37.065
276,-42,34.4,200,34.4
277,-216,32.53,200,32.53
278,-38,37.065,200,37.065
279,-124,35.28,200,35.28
280,-80,35.975,200,35.975
281,-42,36.365,200,36.365
282,-100,36.58,200,36.58
283,-108,36.41,200,36.41
284,-76,35.145,200,35.145
285,-98,36.605,200,36.605
286,-38,37.065,200,37.065
287,-234,34.945,200,34.945
288,-140,33.525,200,33.525
289,-38,37.065,200,37.065
290,-98,36.61,200,36.61
291,-104,36.02,200,36.02
292,-158,36.105,200,36.105
293,-42,36.485,200,36.485
294,-38,37.065,200,37.065
295,-38,37.065,200,37.065
296,-100,36.6,200,36.6
297,-114,35.905,200,35.905
298,-38,37.065,200,37.065
299,-42,36.365,200,36.365
300,-38,37.065,200,37.065
301,-38,37.065,200,37.065
302,-50,36.39,200,36.39
303,-38,37.065,200,37.065
304,-98,36.595,200,36.595
305,-38,37.065,200,37.065
306,-42,36.365,200,36.365
307,-38,37.065,200,37.065
308,-42,36.365,200,36.365
309,-38,37.065,200,37.065
310,-42,36.365,200,36.365
311,-38,37.065,200,37.065
312,-38,37.065,200,37.065
313,-114,35.54,200,35.54
314,-42,36.485,200,36.485
315,-38,37.065,200,37.065
316,-38,37.065,200,37.065
317,-38,37.065,200,37.065
318,-52,36.025,200,36.025
319,-38,37.065,200,37.065
320,-42,34.4,200,34.4
321,-38,37.065,200,37.065
322,-38,37.065,200,37.065
323,-92,33.83,200,33.83
324,-38,37.065,200,37.065
325,-38,37.065,200,37.065
326,-38,37.065,200,37.065
327,-58,36.4,200,36.4
328,-58,36.4,200,36.4
329,-42,36.365,200,36.365
330,-52,36.185,200,36.185
331,-38,37.065,200,37.065
332,-38,37.065,200,37.065
333,-38,37.065,200,37.065
334,-38,37.065,200,37.065
335,-38,37.065,200,37.065
336,-38,37.065,200,37.065
337,-42,36.485,200,36.485
338,-102,36.57,200,36.57
339,-38,37.065,200,37.065
340,-38,37.065,200,37.065
341,-96,36.615,200,36.615
342,-38,37.065,200,37.065
343,-38,37.065,200,37.065
344,-38,37.065,200,37.065
345,-38,37.065,200,37.065
346,-38,37.065,200,37.065
347,-38,37.065,200,37.065
348,-38,37.065,200,37.065
349,-38,37.065,200,37.065
350,-38,37.065,200,37.065
351,-38,37.065,200,37.065
352,-38,37.065,200,37.065
353,-38,37.065,200,37.065
354,-38,37.065,200,37.065
355,-38,37.065,200,37.065
356,-42,34.4,200,34.4
357,-42,34.4,200,34.4
358,-42,34.4,200,34.4
359,-94,33.805,200,33.805
360,-136,36.06,200,36.06
361,-38,37.065,200,37.065
362,-42,36.365,200,36.365
363,-38,37.065,200,37.065
364,-38,37.065,200,37.065
365,-38,37.065,200,37.065
366,-112,35.805,200,35.805
367,-38,37.065,200,37.065
368,-38,37.065,200,37.065
369,-38,37.065,200,37.065
370,-64,35.775,200,35.775
371,-42,36.365,200,36.365
372,-38,37.065,200,37.065
373,-118,35.925,200,35.925
374,-112,35.905,200,35.905
375,-42,34.4,200,34.4
